genome name	domain	confidence	% completion	% redundancy	num_splits	total length
H_haemolyticus_str_M19079_id_GCA_003490595_1	BACTERIA	1.0	100.00	0.00	110	2009821
H_haemolyticus_str_M26161_id_GCA_003493685_1	BACTERIA	1.0	100.00	0.00	116	2064886
H_haemolyticus_str_CCUG_24149_id_GCA_001679135_1	BACTERIA	1.0	100.00	0.00	99	1941809
H_haemolyticus_str_M19187_id_GCA_003493605_1	BACTERIA	1.0	100.00	0.00	93	1794812
H_haemolyticus_str_Haemophilus_haemolyticus_BgEED18_id_GCA_901873495_1	BACTERIA	1.0	100.00	0.00	88	1772070
H_haemolyticus_str_M19164_id_GCA_003491025_1	BACTERIA	1.0	100.00	0.00	103	1881238
H_haemolyticus_str_CCUG_15949_id_GCA_006439275_1	BACTERIA	1.0	100.00	0.00	101	1991233
H_haemolyticus_str_M26167_id_GCA_003493125_1	BACTERIA	1.0	100.00	0.00	116	1975345
H_haemolyticus_str_11P18_id_GCA_001008205_1	BACTERIA	1.0	100.00	0.00	89	1785806
H_haemolyticus_str_16_549009_id_GCA_004362455_1	BACTERIA	1.0	100.00	0.00	98	1843335
H_haemolyticus_str_CCUG_30218_id_GCA_006439145_1	BACTERIA	1.0	100.00	0.00	111	1986818
H_haemolyticus_str_CCUG30047_id_GCA_013401795_1	BACTERIA	1.0	100.00	0.00	132	2100773
H_haemolyticus_str_S32F2_id_GCA_013401805_1	BACTERIA	1.0	100.00	0.00	129	2185767
H_haemolyticus_str_1P26_id_GCA_001008215_1	BACTERIA	1.0	100.00	0.00	99	1869699
H_haemolyticus_str_PN24_id_GCA_013401825_1	BACTERIA	1.0	100.00	1.41	102	1938749
H_haemolyticus_str_27P25_id_GCA_001008275_1	BACTERIA	1.0	100.00	4.23	96	1876155
H_haemolyticus_str_3P5_id_GCA_001008225_1	BACTERIA	1.0	100.00	1.41	105	1836392
H_haemolyticus_str_CCUG_31732_id_GCA_006439125_1	BACTERIA	1.0	100.00	1.41	106	1892724
H_haemolyticus_str_NCTC10839_id_GCA_900477945_1	BLANK	1.0	0.00	0.00	96	1934644
H_haemolyticus_str_M19345_id_GCA_003351405_1	BLANK	0.9	0.00	0.00	95	1916320
H_haemolyticus_str_2019_19_id_GCA_019973675_1	BLANK	0.8	0.00	0.00	94	1895310
H_haemolyticus_str_M19107_id_GCA_000222005_2	BACTERIA	1.0	100.00	16.90	136	1915087
H_haemolyticus_str_M19501_id_GCA_000222025_2	BACTERIA	1.0	100.00	8.45	90	1884911
H_haemolyticus_str_M21127_id_GCA_000222045_2	BACTERIA	1.0	100.00	2.82	99	1945400
H_haemolyticus_str_M21621_id_GCA_000222065_2	BACTERIA	1.0	100.00	7.04	97	2089205
H_influenzae_str_M10489_id_GCA_003494325_1	BACTERIA	1.0	100.00	1.41	98	1916349
H_influenzae_str_M14666_id_GCA_003494725_1	BACTERIA	1.0	100.00	0.00	95	1841405
H_influenzae_str_M25147_id_GCA_003496925_1	BACTERIA	1.0	100.00	0.00	98	1848705
H_influenzae_str_60295_NP_Hi1_id_GCA_004802075_1	BACTERIA	1.0	100.00	0.00	89	1817333
H_influenzae_str_P608_8895_id_GCA_003415305_1	BACTERIA	1.0	100.00	0.00	100	1852713
H_influenzae_str_P677_2580_id_GCA_003414465_1	BACTERIA	1.0	100.00	0.00	91	1760187
H_influenzae_str_P645_8193_id_GCA_003414225_1	BACTERIA	1.0	100.00	0.00	96	1869163
H_influenzae_str_60294_NP_Hi1_id_GCA_004802405_1	BACTERIA	1.0	100.00	0.00	87	1817393
H_influenzae_str_P603_4482_id_GCA_003415355_2	BACTERIA	1.0	100.00	0.00	94	1845227
H_influenzae_str_60373_BAL_Hi1_id_GCA_004802295_1	BACTERIA	1.0	100.00	0.00	90	1895927
H_influenzae_str_1P16H5_id_GCA_002991295_1	BACTERIA	1.0	100.00	0.00	91	1854105
H_influenzae_str_PN134_id_GCA_013402015_1	BACTERIA	1.0	100.00	0.00	99	1840853
H_influenzae_str_PTHi_1402_id_GCA_900407805_1	BACTERIA	1.0	100.00	1.41	98	1892824
H_influenzae_str_PTHi_8273_id_GCA_900408165_1	BACTERIA	1.0	100.00	0.00	133	1921596
H_influenzae_str_60370_BAL_Hi2_id_GCA_004802355_1	BACTERIA	1.0	100.00	0.00	87	1812633
H_influenzae_str_P612_8066_id_GCA_003415255_1	BACTERIA	1.0	100.00	0.00	101	1810736
H_influenzae_str_1_id_GCA_003203015_1	BACTERIA	1.0	100.00	1.41	108	1848877
H_influenzae_str_PTHi_13064_id_GCA_900407625_1	BACTERIA	1.0	100.00	1.41	102	1827750
H_influenzae_str_124P40H1_id_GCA_002991045_1	BACTERIA	1.0	100.00	1.41	97	1773015
H_influenzae_str_24_id_GCA_003203275_1	BACTERIA	1.0	100.00	1.41	106	1807049
H_influenzae_str_WAPHL1_id_GCA_002237715_1	BACTERIA	1.0	100.00	1.41	92	1806861
H_influenzae_str_149P2H1_id_GCA_002991135_1	BACTERIA	1.0	100.00	0.00	108	1811479
H_influenzae_str_HI1408_id_GCA_001184705_1	BACTERIA	1.0	100.00	0.00	91	1901713
H_influenzae_str_PTHi_3421_id_GCA_900407925_1	BACTERIA	1.0	100.00	0.00	122	2027472
H_influenzae_str_40P92H1_id_GCA_002985345_1	BACTERIA	1.0	100.00	0.00	98	1756455
H_influenzae_str_839_HINF_id_GCA_001059185_1	BACTERIA	1.0	100.00	0.00	106	1936667
H_influenzae_str_51P4H_id_GCA_002985485_1	BACTERIA	1.0	100.00	1.41	105	1864215
H_influenzae_str_148P4H1_id_GCA_002985005_1	BACTERIA	1.0	100.00	0.00	113	1886763
H_influenzae_str_PTHi_5709_id_GCA_900408095_1	BACTERIA	1.0	100.00	2.82	108	1928180
H_influenzae_str_492_HINF_id_GCA_001076835_1	BACTERIA	1.0	100.00	0.00	99	1831438
H_influenzae_str_RHH_3_id_GCA_015694745_1	BACTERIA	1.0	100.00	0.00	112	1823831
H_influenzae_str_19P81H1_id_GCA_002985065_1	BACTERIA	1.0	100.00	0.00	157	2013307
H_influenzae_str_40P44H1_id_GCA_002985305_1	BACTERIA	1.0	100.00	1.41	134	1779498
H_influenzae_str_PTHi_2060_id_GCA_900407905_1	BACTERIA	1.0	100.00	1.41	202	1877886
H_influenzae_str_M03842_id_GCA_003491005_1	BACTERIA	1.0	100.00	0.00	99	1843405
H_influenzae_str_P658_8889_id_GCA_003414605_1	BACTERIA	1.0	100.00	0.00	98	1813138
H_influenzae_str_P596_8591_id_GCA_003415525_1	BACTERIA	1.0	100.00	1.41	101	1806462
H_influenzae_str_841_HINF_id_GCA_001058575_1	BACTERIA	1.0	100.00	1.41	120	2078016
H_influenzae_str_159_HINF_id_GCA_001055565_1	BACTERIA	1.0	100.00	16.90	100	1946952
H_influenzae_str_AS1_id_GCA_021391215_1	BACTERIA	1.0	100.00	0.00	105	1798296
H_influenzae_str_39P18H1_id_GCA_002990315_1	BACTERIA	1.0	100.00	0.00	109	1864831
H_influenzae_str_39P25H_id_GCA_002991365_1	BACTERIA	1.0	100.00	0.00	98	1823151
H_influenzae_str_AS012764_id_GCA_010604085_1	BACTERIA	1.0	100.00	0.00	172	1835562
H_influenzae_str_12P37H2_id_GCA_002984945_1	BACTERIA	1.0	100.00	0.00	95	1815681
H_influenzae_str_NCTC8143_id_GCA_001457655_1	BLANK	0.7	0.00	0.00	94	1890645
H_influenzae_str_NCTC11931_id_GCA_900475535_1	BLANK	1.0	0.00	0.00	102	2044007
H_influenzae_str_CHBN_IV_1_id_GCA_019703735_1	BACTERIA	0.2	18.31	0.00	94	1882642
H_influenzae_str_M21384_id_GCA_003351425_1	BLANK	0.8	0.00	0.00	90	1817261
H_influenzae_str_22_4_21_id_GCA_000169855_1	BACTERIA	1.0	100.00	7.04	102	1851097
H_influenzae_str_F3039_id_GCA_005888205_1	BACTERIA	1.0	100.00	0.00	151	1961979
H_influenzae_str_CGSHiCZ412602_id_GCA_000698365_1	BLANK	0.8	0.00	0.00	90	1811802
H_influenzae_str_PittHH_id_GCA_000169815_1	BACTERIA	1.0	100.00	1.41	109	1837347
H_massiliensis_str_NA_id_GCA_000752475_1	BACTERIA	1.0	100.00	0.00	130	2556133
H_parahaemolyticus_str_NCTC10794_id_GCA_900450875_1	BACTERIA	0.7	84.51	1.41	109	2163754
H_parahaemolyticus_str_C2006000788_id_GCA_003252925_1	BACTERIA	1.0	100.00	2.82	109	2117430
H_parahaemolyticus_str_C2010039593_id_GCA_003253075_1	BACTERIA	1.0	100.00	1.41	127	2218651
H_parahaemolyticus_str_G321_id_GCA_000826045_1	BACTERIA	1.0	100.00	2.82	96	2037768
H_parahaemolyticus_str_NCTC_8479_id_GCA_900450675_1	BACTERIA	0.3	33.80	1.41	105	2096197
H_parainfluenzae_str_C2004002727_id_GCA_003252885_1	BACTERIA	1.0	100.00	5.63	113	2088855
H_parainfluenzae_str_C2005004058_id_GCA_003252915_1	BACTERIA	1.0	100.00	1.41	107	2079145
H_parainfluenzae_str_C2004002729_id_GCA_003252795_1	BACTERIA	1.0	100.00	1.41	99	1898682
H_parainfluenzae_str_60884_B_Hi_2_id_GCA_001949895_1	BACTERIA	1.0	100.00	7.04	94	1872293
H_parainfluenzae_str_UMB0748_id_GCA_002884755_1	BACTERIA	1.0	100.00	1.41	110	2069115
H_parainfluenzae_str_ATCC_9796_id_GCA_001680775_1	BACTERIA	1.0	100.00	1.41	104	2120924
H_parainfluenzae_str_C2006002596_id_GCA_003252755_1	BACTERIA	1.0	100.00	4.23	110	2079789
H_parainfluenzae_str_65114_B_Hi_3_id_GCA_001949885_1	BACTERIA	1.0	100.00	8.45	98	1978057
H_parainfluenzae_str_Haemophilus_parainfluenzae_BgEED17_id_GCA_901873375_1	BACTERIA	1.0	100.00	1.41	97	1943763
H_parainfluenzae_str_209_HPAR_id_GCA_001055885_1	BACTERIA	1.0	100.00	1.41	100	1997176
H_parainfluenzae_str_C2004000280_id_GCA_003252725_1	BACTERIA	1.0	100.00	4.23	113	1999882
H_parainfluenzae_str_CCUG_58848_id_GCA_001679405_1	BACTERIA	1.0	100.00	1.41	110	2148389
H_parainfluenzae_str_M1C111_2_id_GCA_014982385_1	BACTERIA	1.0	100.00	1.41	96	1968371
H_parainfluenzae_str_432_HPAR_id_GCA_001055095_1	BACTERIA	1.0	100.00	11.27	95	1965853
H_parainfluenzae_str_146_HPAR_id_GCA_001053575_1	BACTERIA	1.0	100.00	1.41	110	2028317
H_parainfluenzae_str_M1C116_1_id_GCA_014982375_1	BACTERIA	0.9	97.18	1.41	123	1972414
H_parainfluenzae_str_C2008001710_id_GCA_003252775_1	BACTERIA	1.0	100.00	8.45	115	2099750
H_parainfluenzae_str_LC_1315_18_id_GCA_008868695_1	BACTERIA	1.0	100.00	9.86	282	2081504
H_parainfluenzae_str_488_HPAR_id_GCA_001057005_1	BACTERIA	1.0	100.00	2.82	125	2109424
H_parainfluenzae_str_137_HINF_id_GCA_001053535_1	BACTERIA	1.0	100.00	4.23	165	2171795
H_parainfluenzae_str_1128_HPAR_id_GCA_001053915_1	BACTERIA	1.0	100.00	16.90	104	1975676
H_parainfluenzae_str_155_HPAR_id_GCA_001054475_1	BACTERIA	1.0	100.00	5.63	104	1965506
H_parainfluenzae_str_1209_HPAR_id_GCA_001053035_1	BACTERIA	1.0	100.00	2.82	120	1972330
H_parainfluenzae_str_901_HPAR_id_GCA_001059815_1	BACTERIA	1.0	100.00	1.41	114	1904470
H_parainfluenzae_str_COPD_014_E1_O_id_GCA_009914785_1	BACTERIA	1.0	100.00	4.23	196	2127067
H_parainfluenzae_str_NCTC10672_id_GCA_900450995_1	BACTERIA	0.3	19.72	1.41	112	2236386
H_parainfluenzae_str_M1C137_2_id_GCA_014931395_1	BLANK	0.8	0.00	0.00	108	2177054
H_parainfluenzae_str_M27794_id_GCA_003390455_1	BLANK	0.8	0.00	0.00	107	2148960
H_parainfluenzae_str_NCTC10665_id_GCA_900638025_1	BACTERIA	0.2	15.49	1.41	103	2062405
H_parainfluenzae_str_M1C152_1_id_GCA_014931295_1	BACTERIA	0.2	12.68	0.00	101	2022727
H_parainfluenzae_str_M1C160_1_id_GCA_014931275_1	BACTERIA	0.2	9.86	0.00	100	2018144
H_parainfluenzae_str_M1C149_1_id_GCA_014931315_1	BACTERIA	0.2	15.49	0.00	100	2015253
H_parainfluenzae_str_M1C120_2_id_GCA_014931455_1	BLANK	0.8	0.00	0.00	100	2000745
H_parainfluenzae_str_M1C130_2_id_GCA_014931415_1	BLANK	0.8	0.00	0.00	99	1994590
H_parainfluenzae_str_M1C125_4_id_GCA_014931435_1	BLANK	0.9	0.00	0.00	97	1953198
H_parainfluenzae_str_M1C146_1_id_GCA_014931355_1	BLANK	0.9	0.00	0.00	96	1926530
H_parainfluenzae_str_M1C113_1_id_GCA_014931475_1	BACTERIA	0.7	76.06	1.41	103	2089461
H_parainfluenzae_str_M1C142_1_id_GCA_014931375_1	BACTERIA	0.8	76.06	1.41	102	2037540
H_parainfluenzae_str_M1C147_1_id_GCA_014931335_1	BACTERIA	0.3	42.25	1.41	99	1981608
H_parainfluenzae_str_NCTC_7857_id_GCA_900450845_1	BACTERIA	0.5	38.03	5.63	108	2148353
H_parainfluenzae_str_HK262_id_GCA_000259485_1	BACTERIA	1.0	100.00	1.41	133	2107814
H_parainfluenzae_str_T3T1_id_GCA_000210895_1	BACTERIA	0.2	12.68	0.00	104	2086875
H_paraphrohaemolyticus_str_NCTC10671_id_GCA_900451065_1	BACTERIA	0.4	45.07	0.00	107	2138467
H_paraphrohaemolyticus_str_C2014016342_id_GCA_003253115_1	BACTERIA	1.0	100.00	1.41	104	1967155
H_pittmaniae_str_NCTC13334_id_GCA_900186995_1	BLANK	0.8	0.00	0.00	109	2181355
H_seminalis_str_SZY_H1_id_GCA_006384255_1	BACTERIA	1.0	100.00	0.00	109	2061978
H_sp_str_C1_id_GCA_001276515_1	BACTERIA	1.0	100.00	0.00	134	1987290
H_sp_str_CCUG_60358_id_GCA_001679485_1	BACTERIA	1.0	100.00	5.63	101	2091064
H_sp_HMT_036_str_ccug_66565_id_GCA_001679495_1	BACTERIA	1.0	100.00	0.00	99	1926945
H_sp_str_HMSC061E01_id_GCA_001810345_1	BACTERIA	1.0	100.00	1.41	108	1946803
H_sp_str_HMSC066D03_id_GCA_001811025_1	BACTERIA	1.0	100.00	1.41	109	1973067
H_sp_str_HMSC068C11_id_GCA_001815355_1	BACTERIA	1.0	100.00	1.41	100	1902891
H_sp_str_HMSC073C03_id_GCA_001814055_1	BACTERIA	1.0	100.00	4.23	109	2006824
H_sp_str_HMSC61B11_id_GCA_001838615_1	BACTERIA	1.0	100.00	1.41	143	2147385
H_sp_str_HMSC71H05_id_GCA_001838635_1	BACTERIA	1.0	100.00	5.63	104	2024006
H_sp_str_Marseille_Q0026_id_GCA_916856725_1	BACTERIA	1.0	100.00	2.82	99	1996587
H_sp_HMT_036_str_F0629_id_GCA_002998595_1	BACTERIA	0.3	9.86	0.00	90	1805716
H_sp_str_F0397_id_GCA_000242295_1	BACTERIA	1.0	100.00	0.00	89	1838618
H_sp_str_SZY_H36_id_GCA_018829625_1	BACTERIA	1.0	100.00	0.00	90	1861813
H_sp_str_SZY_H8_id_GCA_018829755_1	BACTERIA	1.0	100.00	0.00	97	1855861
H_sputorum_str_C2015005679_id_GCA_003252875_1	BACTERIA	1.0	100.00	1.41	108	2001559
H_sputorum_str_C2002001239_id_GCA_003252715_1	BACTERIA	1.0	100.00	1.41	113	2157961
H_sputorum_str_CCUG_13788_id_GCA_000238795_2	BACTERIA	1.0	100.00	2.82	154	2140446
A_sp_HMT_458_str_W10330_id_GCA_000466335_1	BACTERIA	1.0	100.00	0.00	105	2016624
A_sp_str_Marseille_P9115_id_GCA_920939465_1	BLANK	0.9	0.00	0.00	103	2071265
A_sp_str_2125159857_id_GCA_017798005_1	BLANK	0.9	0.00	0.00	99	1999512
A_segnis_str_C2001002503_id_GCA_003252685_1	BACTERIA	1.0	100.00	0.00	98	1918287
A_segnis_str_PN_651_id_GCA_003130325_1	BACTERIA	1.0	100.00	0.00	104	1965663
A_segnis_str_HK_296_id_GCA_003130075_1	BACTERIA	1.0	100.00	0.00	100	1953597
A_segnis_str_PN_450_id_GCA_003130345_1	BACTERIA	1.0	100.00	0.00	96	1936332
A_segnis_str_C2000002669_id_GCA_003252645_1	BACTERIA	1.0	100.00	0.00	97	2004096
A_segnis_str_933_AAPH_id_GCA_001059425_1	BACTERIA	1.0	100.00	0.00	95	1934244
A_sp_str_W11186_id_GCA_018128305_1	BACTERIA	0.5	45.07	0.00	96	1939696
A_aphrophilus_str_FDAARGOS_248_id_GCA_002083125_2	BACTERIA	1.0	100.00	0.00	119	2406785
A_aphrophilus_str_C2008003249_id_GCA_003252995_1	BACTERIA	1.0	100.00	4.23	117	2346261
A_aphrophilus_str_C2010020251_id_GCA_003252835_1	BACTERIA	1.0	100.00	0.00	123	2450473
A_aphrophilus_str_ATCC_7901_id_GCA_001680805_1	BACTERIA	1.0	100.00	0.00	114	2364377
A_aphrophilus_str_PN_517_id_GCA_003130125_1	BACTERIA	1.0	100.00	0.00	126	2346714
A_aphrophilus_str_HK_319_id_GCA_003130365_1	BACTERIA	1.0	100.00	0.00	134	2421966
A_aphrophilus_str_HK83_id_GCA_003703745_1	BACTERIA	1.0	100.00	1.41	154	2373831
A_kilianii_str_PN_649_id_GCA_003130015_1	BACTERIA	1.0	100.00	0.00	123	2379268
A_kilianii_str_PN_528_id_GCA_003130255_1	BACTERIA	0.7	70.42	0.00	122	2457230
A_kilianii_str_PN_491_id_GCA_003129965_1	BACTERIA	1.0	100.00	0.00	136	2687710
A_actinomycetemcomitans_str_SA15_id_GCA_021309365_1	BACTERIA	1.0	98.59	0.00	135	2171563
A_actinomycetemcomitans_str_ANH9776_id_GCA_001596315_1	BACTERIA	1.0	98.59	1.41	590	1905614
A_actinomycetemcomitans_str_HK_974_id_GCA_008085185_1	BACTERIA	1.0	98.59	0.00	133	2114183
A_segnis_str_NCTC10977_id_GCA_900476035_1	BLANK	0.8	0.00	0.00	101	2022832
A_aphrophilus_str_NJ8700_id_GCA_000022985_1	BLANK	0.7	0.00	0.00	115	2313035
A_actinomycetemcomitans_str_NCTC_9710_id_GCA_008085305_1	BACTERIA	1.0	98.59	0.00	114	2069548
A_aphrophilus_str_NCTC5906_id_GCA_900636915_1	BLANK	0.7	0.00	0.00	116	2337153
